product_id,product_name,category,price,rating,sales_volume,description,optimal_price
0,lightweight serum,Grocery,40.74,4.41,618,lightweight serum with long battery life. grocery category.,43.47
1,compact headphones,Beauty,69.77,4.71,354,compact headphones for families. beauty category.,68.54
2,lightweight serum,Home,5.0,4.67,704,lightweight serum for families. home category.,5.0
3,premium cookbook,Grocery,59.14,4.31,604,premium cookbook for students. grocery category.,60.64
4,lightweight yoga mat,Sports,63.33,4.5,464,lightweight yoga mat for families. sports category.,63.1
5,premium yoga mat,Grocery,93.21,5.0,407,premium yoga mat for students. grocery category.,94.51
6,portable blender,Sports,67.31,2.92,167,portable blender for students. sports category.,64.52
7,smart blender,Sports,85.85,4.2,471,smart blender with noise canceling. sports category.,84.48
8,compact headphones,Home,63.37,4.35,261,compact headphones for travel. home category.,60.34
9,durable headphones,Grocery,5.0,3.28,659,durable headphones with long battery life. grocery category.,5.0
10,portable cookbook,Toys,67.41,4.46,275,portable cookbook for small spaces. toys category.,66.4
11,compact serum,Toys,88.44,4.91,481,compact serum for travel. toys category.,91.05
12,portable keyboard,Toys,112.34,4.3,1343,portable keyboard for students. toys category.,111.52
13,portable cookbook,Sports,10.34,4.73,725,portable cookbook with noise canceling. sports category.,10.48
14,eco blender,Grocery,32.38,4.55,446,eco blender for students. grocery category.,31.46
15,wireless keyboard,Toys,38.64,3.91,129,wireless keyboard for families. toys category.,36.91
16,wireless router,Electronics,35.43,3.9,401,wireless router with long battery life. electronics category.,31.88
17,lightweight monitor,Grocery,64.45,3.35,986,lightweight monitor with long battery life. grocery category.,62.94
18,lightweight yoga mat,Books,70.55,3.22,334,lightweight yoga mat for families. books category.,67.85
19,smart headphones,Books,98.04,4.7,389,smart headphones for travel. books category.,97.75
20,portable yoga mat,Beauty,71.83,5.0,991,portable yoga mat with long battery life. beauty category.,69.5
21,eco headphones,Beauty,85.47,3.73,589,eco headphones for travel. beauty category.,84.04
22,wireless serum,Sports,127.68,4.15,395,wireless serum for students. sports category.,127.79
23,smart headphones,Beauty,41.23,4.76,607,smart headphones with long battery life. beauty category.,36.6
24,portable keyboard,Sports,30.68,4.51,968,portable keyboard for travel. sports category.,31.76
25,premium router,Sports,5.0,4.21,564,premium router with long battery life. sports category.,6.53
26,smart yoga mat,Beauty,78.27,4.28,562,smart yoga mat with long battery life. beauty category.,78.61
